Original_Article,Human_Summary,LongT5_Summary
"Describing the government’s report card on its performances as a “photo album”, the BJP today dismissed the “hollow and ridiculous claims” of achievement made by Chief Minister Omar Abdullah on the completion of its three years in office. “The booklet released by Omar Abdullah to highlight his achievements of past three years is more of a photo album with Chief Minister’s pictures taken by the state Information Department. The photo album as well as the pompous function organised to celebrate Omar Abdullah’s so-called achievements was only a publicity stunt done at the cost of the public exchequer,” BJP state chief Shamsher Singh Manhas told reporters here.","The Bharatiya Janata Party (BJP) in Jammu and Kashmir criticized Chief Minister Omar Abdullah's report card on the government's three-year performance, dismissing the claims as ""hollow and ridiculous."" The BJP referred to the report booklet as a ""photo album"" with pictures of the Chief Minister taken by the state Information Department. The party accused Omar Abdullah of organizing a ""publicity stunt"" at the expense of the public exchequer.",The BJP today dismissed the “hollow and ridiculous claims” of achievement made by Chief Minister O
"LJP president Ramvilas Paswan today accused yoga guru Ramdev of ‘sitting on RSS laps.’“Ramdeev Baba was quite good till when he was a yoga guru … Now he has diverted his attention,” he told a press conference here.Ramdev has become a non-issue in the country since he started ‘doing business’,Paswan alleged without elaborating.You May LikeThe ""Big, Beautiful bill"" passed by Congress and praised by President Donald Trump will have mixed effects on different industries, income levels, and regions. Major business groups, manufacturers, small businesses, and high-income Americans will see gains, while low-income Americans, hospitals, clean energy, and electric vehicle industries, and deficit hawks will be negatively impacted.","LJP president Ramvilas Paswan criticized yoga guru Ramdev, claiming he has become overly aligned with the RSS and has shifted focus from his original role as a yoga instructor to business pursuits. During a press conference, Paswan described Ramdev as a ""non-issue"" in the country since he began commercializing his brand. The remarks highlight Paswan's discontent with Ramdev's current trajectory and suggest a perceived loss of authenticity in his public persona.",LJP president Ramvilas Paswan today accused yoga guru Ramdev of ‘s
"Written byAgenciesIpoh (malaysia) |May 10, 2010 22:07 IST3 min readPRINTIndia dazzled with a near-perfect performance to stun world champions Australia 4-3 in a pulsating round-robin match of the Sultan Azlan Shah Cup hockey tournament here today.Tushar Khandker (19th and 32nd minute),captain Rajpal Singh (21st) and Shivendra Singh (61st) scored for India whileTrentMilton (38th),Christopher Ciriello (40th) and Mark Paterson (70th) were the Australian marksmen.With today’s win,India are the only undefeated side in the tournament topping the seven team table with ten points from three wins and one draw,while Australia have six points from three outings.Story continues below this adDefending champions India,who led 3-0 at half time,recorded their first win against Australia since 2003. Both the sides though came to the tournament without some key players.India outplayed Australia in the first half with an intelligent gameplan to contain their rivals and silence their attacks. Their ball rotation and short passes were exemplary as the attacking midfielders supported the forwards to mesmerise the Australian defence.India did not allow the Australian forwards to attack from the centre as Rajpal,Mandeep Antil and Shivendra denied the space. That forced the Aussies to run down the flanks which the Indian deep defence and wing halfs anticipated with perfection.Jose Brasa’s men used both flanks with wingers Mandeep Antil and Tushar Khandker with good measure while Rajpal and Shivendra led the onslaughts down the centre.Story continues below this adIndia wasted three scoring chances to break into the lead. First,Khandker was foiled by sweeper Christopher Ciriello followed by Sarvanjit Singh’s double fumble at the goalmouth.India,however,drew first blood in the 19th minute from a move engineered by Arjun Halappa and Gurbaj Singh. Shivendra took over and he pushed the ball to the waiting Khandker to apply the finishing touchBouyed by the lead,India fired another goal two minutes later as Rajpal nailed home from a brilliant move crafted by a Halappa and Danish Mujtaba combination.Australia’s woes continued as the Indians increased their tally to 3-0 in the 32nd minute as Khandker found the mark again from Antil’s cross.Story continues below this adAfter the breather,a determined Australians came firing on all cylinders and the Indian deep defence was repeatedly outwitted by their strikers Grant Schubert,Mark Paterson and Timothy Devin.A misunderstanding between Sardar Singh and Dhananjay Mahadik resulted in Trent sneaking into the circle to beat Indian goalkeeer Sreejesh with a deft flick in the 38th minute.Two minutes later,India conceded the first penalty corner which Ciriello sank into the goal to further reduce the margin.India continued to commit unforced errors as Bharat Chikara,Mahadik and Ravi Pal Singh failed to anticipate the Australian raids. They won two more penalty corners in quick succession but could not find the equaliser.Story continues below this adIn the 61st minute,India scored from a counter-attack with Rajpal manouvering on the left flank past Kiel Brown to set up Shivendra who beat George Bazeley under the bars to record the fourth goal.The Indians looked like to win the match 4-2 but only to succumb to Mark Paterson’s strike in the last minute after incessant Australian attack.India play hosts Malaysia on Wednesday with tomorrow being a rest day. They play their last round-robin match against Egypt on May 15.Tags:Rajpal SinghSultan Azlan Shah CupLatest CommentPost CommentRead CommentsExpand","Written byAgenciesIpoh (malaysia) |May 10, 2010 22:07 IST3 min readPRINTIndia dazzled with a near-perfect performance to stun world champions Australia 4-3 in a pulsating round-robin match of the Sultan Azlan Shah Cup hockey tournament here today.Tushar Khandker (19th and 32nd minute),captain Rajpal...",India dazzled with a near-perfect performance to stun world champions Australia 4-3
"Karnataka government has issued an order which prohibits the ongoing strike at auto component maker Bosch’s plant in Bangalore. The workers are on strike since September 16 in support of their demands pertaining to wages, benefits and regularisation of temporary workers. In a press release, Bosch said the State government issued the order dated October 10 prohibiting the strike with immediate effect. The Mico Employees Association president S. Prasanna Kumar, however, declared the strike will continue. “It is holiday tomorrow and day after, we will continue our strike on Monday,” he told The Hindu . A writ petition filed by the Association in the High Court of Karnataka, challenging the conciliation being declared a failure by the government, is scheduled to be taken up on Monday. The release from Bosch Ltd said prior to the order, the Labour Department had convened conciliatory meetings between the management and workers. There were also ‘special interventions’ by many senior government officials and senior ministers. The proceedings, ‘unfortunately’ did not result in a mutually agreeable resolution. Stating it will ‘continue to adopt a fair, but firm approach,’ the company asked the workers to call off the strike, report to work and restore normalcy.","The Karnataka government has issued an order to halt the ongoing strike at Bosch's Bangalore plant, which began on September 16 over wage and employment issues. Despite the order, the Mico Employees Association president declared the strike will persist. Bosch's press release highlighted prior conciliatory efforts by the Labour Department and government officials, which failed to yield a resolution. The company urged workers to end the strike and resume work. A writ petition challenging the conciliation's failure is scheduled in the High Court of Karnataka. The situation remains tense as workers plan to continue the strike.",The Karnataka government has issued an order prohibiting the ongoing strike at auto component maker Bosch
"Railway Minister Ashwini Vaishnaw on Friday visited the site in West Bengal's Jalpaiguri district where the Bikaner-Guwahati Express train had derailed on the previous day, leaving nine dead and at least 36 injured. He conducted an inspection of the tracks and the locomotive involved in the accident, a Northeast Frontier Railway (NFR) spokesperson said here. Twelve coaches of the Bikaner-Guwahati Express train had derailed and some of them capsized near Domohani in Jalpaiguri district on Thursday. At the accident site, the minister conducted a thorough inspection of the underframe of the locomotive and its braking system, she said. The number of injured currently stands at 36. While 23 passengers are undergoing treatment at a super specialty hospital in Jalpaiguri, six are admitted to the North Bengal Medical College and seven at Maynaguri Rural Hospital, she said. The CPRO said that evacuation of passengers was completed at 10 PM on Thursday night and a special train had left the accident site at 9.50 PM with 290 stranded passengers for Guwahati. At least 10 trains, mostly intercity and DEMU trains, have been cancelled on the affected route on Friday, while a couple are being short-terminated or short-originated. Another 10 long-distance trains are being diverted through alternative routes, the CPRO added.","Railway Minister Ashwini Vaishnaw visited the site in West Bengal's Jalpaiguri district where the Bikaner-Guwahati Express train derailed, resulting in nine deaths and at least 36 injuries. The minister inspected the tracks and the locomotive involved in the accident, conducting a thorough examination of the underframe and braking system. Currently, 36 injured passengers are receiving treatment in different hospitals. The evacuation of passengers was completed on Thursday night, and a special train departed with 290 stranded passengers for Guwahati. Several trains have been canceled, short-terminated, or diverted due to the impact on the affected route.",Railway Minister Ashwini Vaishnaw visited the site in West Bengal's Jal
"Indian Prime Minister Narendra Modi today called his Bangladesh counterpart Sheikh Hasina over the phone and extended greetings on the occasion of the Eid-ul-Fitr, the biggest religious festival of the Muslims.""The Indian premier phoned the Bangladesh prime minister at about 5:45pm and extended Eid-ul-Fitr greetings to her (Sheikh Hasina) and the people of Bangladesh,"" PM's Press Secretary Ihsanul Karim told media.During the five-minute telephonic conversation, the Bangladesh prime minister also extended Eid greetings to Narendra Modi and the people of India, he added.The Bangladesh premier wished continued peace, progress and prosperity of the people of India.Narendra Modi also wished the continued peace, progress and development of the people of Bangladesh, the press secretary further said.","Indian Prime Minister Narendra Modi called Bangladesh Prime Minister Sheikh Hasina to extend Eid-ul-Fitr greetings, the biggest religious festival for Muslims. During the five-minute conversation, both leaders exchanged Eid greetings and wished for the continued peace, progress, and prosperity of each other's nations. The phone call reflects the close diplomatic ties between India and Bangladesh. Eid-ul-Fitr marks the end of Ramadan, the holy month of fasting observed by Muslims worldwide.",Indian Prime Minister Narendra Modi today called his Bangladesh counterpart Sheikh Hasina over the phone
"NIT Goa was established in 2010 and has been operating since from its temporary campus at the Goa Engineering College complex at Farmagudi. “The permanent campus is almost ready, and we want to shift there as early as possible. We are expecting to start the next semester from there,” said Jaiswal. In fact, NIT Goa is set to host its 9th convocation ceremony at the auditorium at its permanent campus in Cuncolim on October 13. The campus has an estimated built-up area of 7 lakh sq ft and the institute is expected carry out expansion in terms of student numbers and programmes once the operations shift to the permanent campus. “Despite spatial constraints, the institute has won 90th position in the engineering category at the nation-wide NIRF assessment of the Union education ministry in 2023. Among the new NITs, we were at the second position after Meghalaya,” Jaiswal said. The campus building includes facilities like administrative block, digital library, two conference halls, guesthouse, teaching block, hostels, in its first phase. The director said that this year a maximum pay package of Rs 26 lakh and an average package of Rs 11.4 lakh per annum was offered to NIT Goa students during campus placements. Patade Mandar Manohar was offered the highest overall package of Rs 26 lakh. Among the MTech students, Meghdatta Hemant Korgaonkar was offered the highest overall package of Rs 37 lakh per annum. “The institute has attracted more than 160 companies for the campus placement of our students. An important highlight is that 25 students have been selected in prominent Public Sector Undertakings (PSUs), namely BPCL, BEL, C-DOT etc. Majority of our MTech students from the 2022-23 batch have undertaken internship at leading multinational corporations,” Jaiswal said. The NIT Goa faculty members have taken up 49 research projects worth nearly Rs 34 crore, which are funded by various national and international research bodies, said the director. “The Institute sanctioned 27 seed money projects worth of Rs 2.3 crore to encourage and support its faculty. The Institute has 12 patents granted, six patents have been already published,” Jaiswal said.","NIT Goa's first-phase campus includes administrative block, digital library, conference halls, guesthouse, teaching block, hostels. Director stated a max pay package of Rs 26L and avg of Rs 11.4L p.a. Patade Mandar got highest package of Rs 26L; Meghdatta Hemant Korgaonkar, highest MTech package of Rs 37L. 160+ companies participated in placements; 25 students selected in PSUs. Faculty led 49 research projects worth Rs 34 crore, 12 patents granted, 6 published. 27 seed money projects worth Rs 2.3 crore sanctioned.",NIT Goa was established in 2010 and has been operating since from its temporary campus at the Go
"With every new year, come new expectations from Apple as it prepares to release the iPhone of the year. This year, all eyes are on the iPhone 15 series, which has been rocking the tech world with rumours and speculations. So far we already know that the upcoming iPhone 15 series will be going through a makeover and receiving fresh designs from Apple.","As anticipation mounts for Apple's annual iPhone release, the spotlight shines on the iPhone 15 series. Amidst rampant rumors and speculations, one thing is certain: the upcoming lineup will undergo a significant makeover, featuring fresh designs from Apple. With each new year, consumers eagerly await the unveiling of the latest iPhone iteration, poised to set new benchmarks in technology and design, shaping expectations for the future of mobile innovation.","Apple is preparing to release the iPhone 15 series, which has been rocking the tech world with"
"New Delhi, Feb 15 (PTI) Five new judges were today appointed to the Supreme Court, taking it working strength to 28. President Pranab Mukherjee has signed their Warrants of Appointment and the notifications will be issued shortly, sources in the government said here. Those elevated to the apex court are five high court judges, including four chief justices of state high courts.","Five new judges were appointed to the Supreme Court on Wednesday, taking its working strength to 28. The new judges elevated to the apex court include four chief justices of state high courts and a sitting Karnataka High Court judge. Notably, the Supreme Court has a total sanctioned strength of 31 judges.","New Delhi, Feb 15 (PTI) Five new judges were today appointed to the Supreme Court,"
"Nearly 190 films, with focus on Central Asian and Black American filmmakers, will be screened at 10 screening houses in Thiruvananthapuram in the annual 15th International Film Festival of Kerala (IFFK) from December 10 and 17. Registration open The delegate registration is open on > with November 30 being the last date. At a press conference here on Sunday, Chairman of Kerala State Chalachitra Academy (KSCA) and Festival Director of 15th IFFK K. R. Mohanan said renowned German filmmaker Werner Herzog would be bestowed with the lifetime achievement award. Vice-Chairman of the KSCA V. K. Joseph and other officer-bearers were present at the press briefing. A committee, headed by renowned filmmaker Adoor Gopalakrishnan chose Mr. Herzog, who would be present to receive the award at the inaugural function of the IFFK at the Nishagandhi auditorium. The award, instituted last year, carries prize money of $10,000 and a trophy designed by C. N. Karunakaran.More prize money The KSCA general council had increased the prize money in each category. The Suvarna Chakoram would carry prize money of Rs.15 lakh. It would be shared by the director and producer of the best film. The Rajata Chakoram and a cash prize of Rs. 4 lakh would be given to the best director. The Rajata Chakoram and a cash prize of Rs.3 lakh would be given to the best debut filmmaker. In addition, the Rajata Chakoram and a cash prize of Rs.2 lakh would be given as “Audience Prize.” Boostto Malayalam cinema In its bid to promote Malayalam cinema, all Malayalam films selected for the IFFK would be given a cash grant of Rs.1 lakh each, which would be to be shared by the director and producer. The Academy would make a new English subtitled print of each of the films, which would be sent to other festivals, used for non-commercial screenings and preserved in the Academy archives. Eight films have been selected in the Malayalam Cinema section. A Retrospective of the well known German director Rainer Fassbinder would be conducted. His wife and editor would attend the festival. T. V. Chandran would be the Malayalam filmmaker in focus. Mr. Mohanan said that approximately 50 films would be screened from all over the world in the World Cinema Section. Apichatpong, Oliver Assayas and Maria Novara from Mexico would be the film makers in focus. As part of the centenary celebrations of Rabindranath Tagore, a seminar on “Explorations of the Epic and the Cinematographic Form: Flowing Traditions,” would be conducted. Kumar Shahani's “Char Adhyaya” would be screened in conjunction. An Arvindan Memorial lecture would be held on “the Journey of Bringing Asian Cinema to Centre State.” Over 8,000 delegates and eminent filmmakers were expected for the event.","The 15th International Film Festival of Kerala (IFFK) in Thiruvananthapuram from December 10-17 will showcase 190 films, focusing on Central Asian and Black American filmmakers. Werner Herzog will receive a lifetime achievement award. Prize money for winners has increased, and Malayalam cinema is promoted with grants and screenings. Special events include a retrospective of Rainer Fassbinder and seminars on Rabindranath Tagore's centenary.","The 15th International Film Festival of Kerala (IFFK) will screen nearly 190 films, with"
"WASHINGTON: President Donald Trump said Friday he might attend a rally planned on Saturday in Washington by supporters of his unsubstantiated claim that the US election was rigged against him. ""Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello,"" Trump tweeted.","WASHINGTON: President Donald Trump said Friday he might attend a rally planned on Saturday in Washington by supporters of his unsubstantiated claim that the US election was rigged against him. ""Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello,"" Trump tweeted.",President Donald Trump said Friday he might attend a rally planned on Saturday in Washington by supporters of
"Apple’s latest iPhone models are on the way and so is its new mobile operating system, the iOS 11. The free software upgrade will begin rolling out for users in India at 10:30 PM IST from Tuesday, September 19. The new iOS 11 will bring a host of new features including a redesigned iMessage app and App Store, new gestures, AI portrait lighting, animated emojis for iPhone X, customisable Dock for iPad and more. While users are eagerly waiting for the software upgrade, it is recommended that they back up all the data on theiriOSdevice just so to avoid losing it. Here’s how you can download and install the new iOS 11 on your compatible iPhone, iPad and iPod touch- How to download and install iOS 11 For those having compatible iOS devices, they can download and install it simply via Settings app. You can also install the new iOS 11 via iTunes. Users can update it by plugging in their iPhone, iPad or iPod device to a Mac, launch iTunes click the Summary Tab and then click Check for update. Once done they will be given the option to select Download and update. But before giving your iOS device this new touch, do remember to connect to Wi-Fi and ensure that it is fully charged before you can start the download, given that the upgrade might be heavy and consume more data and drain the battery. Backup your precious data before upgrading the iOS device As we mentioned, before hitting the upgrade button users should make sure that all their precious data are backed up. In order to do so that they can simply connect their iOS device to the Mac, open iTunes and select the device. The device once selected, click “Back Up Now” under the “Manually Back Up and Restore”. Which are the iOS devices compatible with iOS 11 upgrade? The new iOS 11 will be available on the following Apple devices- iPhone- iPhone 7, iPhone 7 Plus, iPhone 6s, iPhone 6s Plus, iPhone 6, iPhone 6 Plus, iPhone SE, and iPhone 5s. iPad- 2.9-inch iPad Pro 2nd generation, 12.9-inch iPad Pro 1st generation, 10.5-inch iPad Pro, 9.7-inch iPad Pro, iPad Air 2, iPad Air, iPad 5th generation, iPad mini 4, iPad mini 3, and iPad mini 2. iPod- iPod touch 6th generation.","Apple is set to release its new mobile operating system, iOS 11, in India on September 19. The update brings new features like a redesigned iMessage app, AI portrait lighting, and more. Users can download and install iOS 11 via the Settings app or through iTunes. However, it is recommended to back up all data before the upgrade. The new iOS 11 is compatible with various iPhone, iPad, and iPod models.","Apple’s latest iPhone models are on the way and so is its new mobile operating system, the"
"The headline refers to extensive celebrations across Patiala, Ropar, Ambala, and Chandigarh to mark India's 61st Republic Day, featuring flag-hoisting ceremonies at banks, universities, and schools, with performances by students, honorees for civic contributions, and notable attendees such as managing directors and government officials.","On 28 January 2010, The Indian Express covered vibrant Republic Day celebrations in Punjab and Chandigarh. In Patiala, the State Bank of Patiala and Punjabi University held flag-hoisting ceremonies with cultural performances by schoolchildren and deaf students, and honoured dignitaries. Ropar's Nehru Stadium hosted ceremonies led by the Transport Minister and included march‑past by police, NCC cadets, and war veterans. In Ambala, officials distributed tricycles and wheelchairs to the physically challenged. Meanwhile, Chandigarh’s SBI Circle celebrated with cultural programmes and a significant donation for cancer care. The article reflected widespread patriotic fervour across cities despite foggy conditions.","The headline refers to extensive celebrations across Patiala, Ropar, Ambala, and"
"The Congress cannot emerge as a leading political party in Tamil Nadu without the support of Dalits, Union Home Minister P. Chidambaram said on Sunday. Addressing a function organised at Sathyamurthy Bhavan here to admit former BSP leader K. Selvam and his supporters into the party, Mr Chidambaram said nobody could afford to ignore Dalits who accounted for more than 18 per cent of the population.","In his address at an event welcoming former BSP leader K. Selvam and his supporters into the Congress party, Union Home Minister P. Chidambaram emphasized the importance of Dalit support for the Congress to become a prominent political force in Tamil Nadu. Chidambaram highlighted that Dalits constitute more than 18% of the population and asserted that their support is crucial for any political party aspiring to leadership in the state. His remarks underscored the strategic significance of inclusive politics and the recognition of Dalits as a pivotal demographic in Tamil Nadu's political landscape.",The Congress cannot emerge as a leading political party in Tamil Nadu without the support of Dalits
"Ishan Kishan is set to play the wicketkeeper-batter role in the absence of K L Rahul but question remains over the left-hander’s batting slot going into the Asia Cup opener against Pakistan on September 2. The temptation will be to hand Kishan the opening position with Rahul not available for the first two games of the continental event. He had opened the innings in India’s last ODI series against the West Indies along with Shubman Gill, and made a good impression. Kishan made 184 runs in that series from three matches, averaging 61.33 and his scores read – 52, 55 and 77.","Ishan Kishan is set to take on the wicketkeeper-batter role for India in the absence of KL Rahul for the Asia Cup opener against Pakistan on September 2. While Kishan has proved his capabilities with the bat, the big question remains about his batting position. With Rahul unavailable for the first two games, there is speculation that Kishan might be promoted to open the innings. In India’s recent ODI series against the West Indies, Kishan opened with Shubman Gill and made a strong impact, scoring 184 runs in three matches at an average of 61.33, with scores of 52, 55, and 77. His recent form could make him a strong contender for the opening slot as India prepares for the high-stakes match.",Ishan Kishan is set to play the wicketkeeper-batter role in the absence
"MUMBAI: Chief minister Eknath Shinde on Sunday announced that the Mumbai Trans Harbour Link (MTHL) will be opened on January 12. Shinde said that the sea bridge will be inaugurated by Prime Minister Narendra Modi. The CM said the bridge will cut travel time from Mumbai to Navi Mumbai drastically and this will save fuel, conserve energy, reduce traffic jams, save time and give a boost to the development of Navi Mumbai. At nearly 22km long, with 16.5km in sea, MTHL will be the country's longest sea bridge.","Chief minister Eknath Shinde on Sunday announced that the Mumbai Trans Harbour Link (MTHL) will be opened on January 12. Shinde said that the sea bridge will be inaugurated by Prime Minister Narendra Modi. The CM said the bridge will cut travel time from Mumbai to Navi Mumbai drastically and this will save fuel, conserve energy, reduce traffic jams, save time and give a boost to the development of Navi Mumbai. At nearly 22km long, with 16.5km in sea, MTHL will be the country's longest sea bridge.",Chief minister Eknath Shinde announced that the Mumbai Trans Harbour Link (MTHL)
"India's retail inflation dropped to 3.17% in December 2017, its lowest in nearly four years. The fall was attributed to stable food prices and prudent fiscal management by the Reserve Bank of India.",India's inflation cooled down significantly due to falling food and fuel prices.,"India's retail inflation dropped to 3.17% in December 2017, its lowest in nearly four years."
"Written byAgenciesNew Delhi |March 6, 2010 17:07 IST1 min readPRINTYahoo! India has won the Bangalore Ad Club 1- Gold Awards in the Best Media Innovation OOH category for its innovative advertising in Delhi Metro in Tunnel Branding.Yahoo! has also won the 1 – Silver in the Never before used media category for its Its Y!ou Brand Campaign. Yahoo! Ads marquee presence gives the brand unique traction with an audience of early adopters,thought leaders and decision-makers,showcasing the Yahoo!s footprint in the hi-tech city Bangalore.The Advertising Club,Bangalore has conducted Big Bang 2010 Awards for creative excellence in advertising and media. The Bangalore Ad Club panel had 15 judges who judged the entries from over 37 organizations,and the entries came from large,medium sized and small creative agencies,media agencies,digital agencies,radio stations,event companies,film production houses and clients,across nine groups and 51 categories.Yahoos branding focuses on peoplethe power and promise of you. Its about how Yahoo! delivers its promise to the market in everything they do.Tags:Yahoo IndiaLatest CommentPost CommentRead CommentsExpand","Written byAgenciesNew Delhi |March 6, 2010 17:07 IST1 min readPRINTYahoo! India has won the Bangalore Ad Club 1- Gold Awards in the Best Media Innovation OOH category for its innovative advertising in Delhi Metro in Tunnel Branding.Yahoo! has also won the 1 – Silver in the Never before used media ...",India has won the Bangalore Ad Club 1- Gold Awards in the Best Media Innovation OOH category for its
"More often than not, it takes a movie to make you pack your bags, and venture out to the unexplored. Last year the success of Imitiaz Ali's Tamasha pinned Corsica, Spain, to the tourism map of Indians while the magnificent Athirappilly waterfalls, showcased in Baahubali, attracted visitors from all over the South after its release. What brought these places to the limelight was that they were integral to the storyline and grew on the viewers, prompting many to pay a visit. Some of these scenic locales weren't necessarily even tourist destinations before they found their place in reel. With the success of recent films such as Ennu Ninte Moideen, Anarkali and Premam, Mollywood too has been spurring tourists on to check out the hitherto unexplored local spots. We bring you some of the locales that are seeing a steady increase in tourism: Aluva Film: Premam Premam broke all box office records and everything about it was celebrated, from its character Malar to the songs, one of which showed the Aluvappuzha in all its beauty. College students in Kerala stayed in a Premam hangover for months, and many of them wanted to see the place where George met Malar and fell in love. Says Mithun Raj, a student of a city college, 'Aspiring scriptwriters have been said to visit Aluva and take strolls by the Aluvappuzha for inspiration. Also, not many knew that the UC College, Aluva, was the location of the film.' Mithun shares that many of his friends have have visited the college, and took pictures of themselves in the shooting locales. 'We clicked selfies at the classrooms, the ring-about where Malar meets George for the first time,' he says. 'It felt like Malar teacher is still there somewhere.' Lakshadweep Film: Anarkali It's no secret that Lakshadweep is breathtakingly beautiful. But on seeing it in its full glory in the Prithviraj movie Anarkali, a lot of Malayalis have set sail to the islands in the south western coast of the country. Sethu Raj, who just finished his law from Ernakulam Law College, says, 'The spectacular visuals in the film rolled like a tourism manual. It showed all its landmarks including the lighthouse, the culture and the language and also deep-sea diving.' While he hasn't visited the islands yet, an opportunity is on the cards soon. 'Two of our classmates announced that they were in love, and going to get married. The girl is from Lakshadweep and the wedding will be held there. We are all going for sure!'","Successful Indian films like ""Tamasha,"" ""Baahubali,"" ""Ennu Ninte Moideen,"" ""Anarkali,"" and ""Premam"" have boosted tourism in specific locations integral to their storylines. Aluva gained popularity after ""Premam,"" attracting visitors keen to explore the settings where the film's love story unfolded. Lakshadweep's breathtaking beauty, showcased in ""Anarkali,"" inspired many to visit the islands, with film-induced travel plans emerging for a law college group attending a classmate's wedding in Lakshadweep. These movies have transformed lesser-known spots into tourist attractions, demonstrating the influence of cinema on travel trends in India.","The success of Imitiaz Ali's Tamasha pinned Corsica,"
"Indian men’s recurve team of Dhiraj Bommadevara, Tarundeep Rai and Pravin Jadhav shocked reigning Olympic champions South Korea in a historic win to land an Archery World Cup gold medal after 14 years, in Shanghai on April 28. This is Indian men’s recurve team’s maiden triumph over the archery powerhouse in a World Cup final, and it will boost their chances of securing a berth in the upcoming Paris Olympics. The trio of Dhiraj, Tarundeep and Pravin showed ice-cool composure to get the better of the mighty Koreans without dropping a set. The 40-year-old Army man Tarundeep was also a part of the gold medal-winning team in Shanghai World Cup Stage 4 in August 2010. Then the recurve team comprising Rahul Banerjee, Tarundeep and Jayanta defeated Japan. In a battle between the top-two seeds of the competition, India won 5-1 (57-57, 57-55, 55-53), taking their gold medal count to five in the season-opening Stage 1 World Cup. The success also rubbed on the mixed team of Ankita Bhakat and Dhiraj who trounced Alejandra Valencia and Matias Grande of Mexico 6-0 (35-31, 38-35, 39-37) to win bronze. Overall, India have five gold, one silver and a bronze so far, while former world No. 1 Deepika Kumari is on the hunt for another medal, playing her women’s recurve individual semifinal later in the day. In the men’s team final, India were up against their nemesis South Korea, who featured two members of the Tokyo Olympics gold medal winning team in Kim Woojin and Kim Je Deok. Lee Woo Seok was the third member. But the Indian troika put up a brave front and drilled in three 10s that included two X (closer to the centre) and three 9s to match their rivals (57-all) in the opening set. It put the pressure back on the Koreans who slipped twice into the 8-ring, while the Indian shot four perfect 10s including three Xs from six arrows to take the second set 57-55 and take 3-1 lead. In the next set, the Koreans faltered and managed just 53 as the Indians held their nerves to close out the game with a 55 en route to clinch a first men’s team World Cup gold since 2010. Before this victory, the women’s team had previously beaten the Koreans twice in the 2013 World Cup -- Medellin Stage 3 in July and Wroclaw Stage 4 in August. “The nerves always kick in when Korea is in the final. But now, no one can doubt our ability to defeat them,” declared former Commonwealth Games gold medalist Rahul Banerjee, a member of the Shanghai 2010 triumph. “They have been showing perfect rhythm right from the qualifying round and it’s definitely one of the biggest wins in archery. They will now have to hold on to this momentum till Paris,” he added. So far, India have a solitary Olympic berth which was earned by Dhiraj in the men’s individual section. The final Olympic qualifying event is the Stage 3 World Cup in Antalya, Turkey, from June 18 to 23 following which the team rankings will offer two additional quotas for the first time. The two highest-ranked nations, who did not make the cut from the Qualifiers, will receive team berths for Paris from the World Archery rankings. India (231 points) are now third in the world rankings behind China (241) and No. 1 South Korea (340) and are well-placed to make the Paris Olympics cut. Earlier on Saturday, Indian compound archers had swept the team events winning men’s, women’s and mixed team gold medals. Reigning Asian Games champion Jyothi Surekha Vennam added a fourth gold in women’s compound individual section, while Priyansh settled for a maiden World Cup silver in the men’s individual compound section.","The Indian men's recurve archery team comprising Dhiraj Bommadevara, Tarundeep Rai, and Pravin Jadhav achieved a historic victory by defeating reigning Olympic champions South Korea at the Archery World Cup in Shanghai on April 28. This marked India's first-ever triumph over South Korea in a World Cup final and significantly enhances their prospects of securing a spot in the upcoming Paris Olympics. The Indian team demonstrated exceptional composure, winning 5-1 without dropping a set. The victory adds to India's impressive medal tally in the tournament, with five golds, one silver, and a bronze so far. The success of the men's team also inspired the mixed team of Ankita Bhakat and Dhiraj, who secured bronze. Former Commonwealth Games gold medalist Rahul Banerjee praised the team's performance, highlighting the significance of defeating Korea. India's impressive showing positions them well in the world rankings for Olympic qualification, with hopes high for further success in the upcoming events.","Indian men’s recurve team of Dhiraj Bommadevara, Tar"
